document,text
doc_0_SachinTendulkar,"He says that Sachins quest for his 100th hundred has proved to be a hurdle for the entire team and has hampered their performance on the Tour of Australia.. The Beatles use of psychedelic drugs was at its height during that summer.. But Mumbai Indians failed to qualify for semifinals after losing the initial two matches.. The cricketer is also known to celebrate Ganesh Chaturthi at home and frequently visits temples during night when it is calm and quiet.. The ICC revoked the status of the match as a Test as the teams rejected the appointed referee.. Beliefs Tendulkar is a practising Hindu.. He also take a wicket of Shane Warne.. The fifth season started on 15 August 2011 and ended on 17 November 2011.. Amitabh was required to use his singing voice for the first time in a song from the film Mr. Natwarlal in which he starred with Rekha.. One of the most popular sayings by his fans is ""Cricket is my religion and Sachin is my God"".. He dedicated this century to his father.. Modi has relied upon his reputation as a politician able to bring about economic growth and ""development"".. He was the leading run scorer and was adjudged the Man of the Series.. He acted as a coach for the Ponting XI during The Big Appeal.. Modi kept his marriage secret for most of his career.. It took him 78 ODIs to score his first century.. Captaincy Tendulkars two tenures as captain of the Indian cricket team were not very successful.. ""During the Australian tour of India in 1998 Matthew Hayden said ""I have seen God.. He acted as a coach for the Ponting XI during The Big Appeal.. He was awarded by Sports car ""Ferrari"" by Michael Schumacher for achieving this feat.. The budget was viewed positively by private insurance providers.. The cricketer is also known to celebrate Ganesh Chaturthi at home and frequently visits temples during night when it is calm and quiet.. Several deaths were linked to the rush to exchange cash.. Nobody talked about my 99 hundreds.. Thus Sachin Tendulkar became the youngest player to debut for India in Tests at the age of 16 years and 205 days and also the youngest player to debut for India in ODIs at the age of 16 years and 238 days.The series was followed by a tour of New Zealand in which he scored 117 runs at an average of 29.25 in Tests including an innings of 88 in the second Test."
doc_1_TheRollingStones,"Both Jagger and Richards were imprisoned at that point but were released on bail the next day pending appeal.. Emotional Rescue hit the top of the charts on both sides of the Atlantic and the title track reached No.3 in the US.. was released in September 1966 and reached No.. By necessity he joined with booking agent Eric Easton to secure record financing and assistance booking venues.. 44 in the UK and No.. The album went on to sell over two million copies worldwide.. Sticky Fingers reached number one in both the UK and the US.. 37 in the UK and No.. A spell in prison ... will certainly give you room for thought .... A spell in prison ... will certainly give you room for thought .... The single ""Streets of Love"" reached the top 15 in the UK.. The song was written and given to the Stones when John Lennon and Paul McCartney visited them in the studio as the two Beatles liked giving the copyrights to songs away to their friends.. Im thinking about what the next tour is.. Im thinking about what the next tour is.. The band became the first act to see a classic work return to No.. Richards wanted to tour in the summer or autumn of 1980 to promote the new album.. He was framed in the scam and falsely alleged.. Some of the shows were recorded.. The 1975 Tour of the Americas kicked off in New York City with the band performing on a flatbed trailer being pulled down Broadway.. On this album Jones contributions expanded beyond guitar and harmonica.. During this trip the stormy relations between Jones and Pallenberg deteriorated to the point that she left Morocco with Richards.. The film was based on the hijacking incident of the Indian Airlines Flight 814.. It consisted of a pair of lips with a lapping tongue.. The Rolling Stones have inspired and mentored new generations of musical artists both as a band and individually.. Both Beck and Irish blues rock guitarist Rory Gallagher later claimed they had played without realising they were being auditioned."
doc_2_TheRollingStones,"The album has sold more than 7 million copies worldwide.. Muddy Waters was quoted as saying that the Rolling Stones and other English bands piqued the interest of American youth in blues musicians.. 1 studio albums in the US.. A musical partnership began shortly afterwards.. The band became the first act to see a classic work return to No.. Modi emphasised his governments efforts at sanitation as a means of ensuring good health.. 5 in the UK and No.. The drug case against Richards dragged on for over a year.. It included shows in small theatres.. 2 in the UK and No.. The album was recorded at Chess Studios in Chicago and RCA Studios in Los Angeles.. The bands name was changed shortly after their first gig to ""The Rolling Stones"".. Richards called it ""a bridge into thinking about writing for the Stones.. New music released by the band while under this contract was to be issued through Universals Polydor label.. The Hells Angels biker gang provided security.. At their second show in London Eric Clapton and Florence Welch joined the group onstage.. Several reviewers stated that some of the performances in the film sounded better than their analogous album tracks.. was released in September 1966 and reached No.. It was Andrew Oldhams last venture as the Rolling Stones producer.. It was a top ten hit in both Britain and America.. McCartney described Apple as ""rather like a Western communism"".. I wasnt really composing songs or writing at that time.. A musical partnership began shortly afterwards.. It was well received at the time of release and reached No.. A digitally remastered version of the film was shown in select cinemas across the US."
doc_3_AmitabhBachchan,Amitabh was required to use his singing voice for the first time in a song from the film Mr. Natwarlal in which he starred with Rekha.. Bachchan was crowned as Superstar of the Millennium in 2000 at the Filmfare Awards.. The show became a massive hit with audiences and broke many TRP Records.. All of them were successful at the box office.. The governments decision to move the bodies of the train victims from Godhra to Ahmedabad further inflamed the violence.. Bachchan continued to host KBC until 2017.. Captaincy Tendulkars two tenures as captain of the Indian cricket team were not very successful.. He also entered politics for a time in the 1980s.. The fifth season started on 15 August 2011 and ended on 17 November 2011.. In 1972 he made an appearance in the road action comedy Bombay to Goa directed by S. Ramanathan which was moderately successful.. Bachchan lent his voice as a narrator to the 2001 movie Lagaan which was a super hit.. The show became a massive hit with audiences and broke many TRP Records.. Bachchans performance in the film saw him nominated for both the Filmfare Best Actor Award and the Filmfare Award for Best Male Playback Singer.. Bachchans performance in the film received acclaim.. Awards and recognition Modi was named the Best Chief Minister in a 2007 nationwide survey by India Today.. That same year he played a double role in the hit Adalat as father and son.. His role as a doctor with a cynical view of life garnered Bachchan his first Filmfare Best Supporting Actor award.. Modis 31 August 2012 post on Google Hangouts made him the first Indian politician to interact with citizens on a live chat.. Bachchan then played the leading role in the film Majboor.. The film evoked a favourable response from critics and audiences alike.. In 1972 he made an appearance in the road action comedy Bombay to Goa directed by S. Ramanathan which was moderately successful.. The band became the first act to see a classic work return to No.. He received positive reviews from critics who hailed his performance as his best ever since Black.. The injury Tendulkar sustained to his right foot in 2001 flared up and as a result he was ruled out of the ODI series that followed.. The show became a massive hit with audiences and broke many TRP Records.
doc_4_TheRollingStones,"Sticky Fingers reached number one in both the UK and the US.. The band received the Lifetime Achievement Award at the ceremony.. Theres a lot of anger in the music from that period.. This episode strengthened Richards resolve to stop using heroin.. Muddy Waters was quoted as saying that the Rolling Stones and other English bands piqued the interest of American youth in blues musicians.. Jagger and Richards decided to write songs together.. Indian general elections In September 2013 Modi was named the BJPs candidate for prime minister in the 2014 Lok Sabha election.. was released in September 1966 and reached No.. Emotional Rescue hit the top of the charts on both sides of the Atlantic and the title track reached No.3 in the US.. Mick is the one who really has to project himself over the footlights.. 67 in the UK and No.. It was an Andy Warhol photograph of a man from the waist down in tight jeans featuring a functioning zipper.. Opening acts included Living Colour and Guns N Roses.. The compilation featured eight songs the band had never recorded or released commercially.. In 2013 the state ranked 10th of 21 Indian states in the Human Development Index.. 21 on the UK Singles Chart.. 1 in the UK and No.. He dedicated this century to his father.. It topped albums charts in at least 28 countries.. 1 Greatest Album Cover"" of all time in 2003.. Peppers initial commercial success exceeded that of all previous Beatles albums.. 2 in the UK and No.. A musical partnership began shortly afterwards.. 2 in the UK and No.. featured Angelina Jolie as guest and met steady rotation on both MTV and VH1."
doc_5_NarendraModi,"Modi emphasised his governments efforts at sanitation as a means of ensuring good health.. Pakistan initially denied that any strikes had taken place.. Second term During Modis second term the rhetoric of the government shifted from Hindutva to Gujarats economic development.. In the show he trekked the jungles and talked about nature and wildlife conservation with Grylls.. He was again sworn in as Prime minister on 30 May 2019.. The election was described as a referendum on Narendra Modi.. Modi was forced to go underground in Gujarat and frequently travelled in disguise to avoid arrest.. Martins first recording session with the Beatles took place at EMIs Abbey Road Studios in London on 6 June 1962.. The 1969 tour is considered a ""great watershed tour"" by Mick Jagger because they ""started hanging the sound and therefore hanging the lights"".. The BJP did not nominate any Muslim candidates for the assembly election of 2012.. An article in the medical journal Lancet stated that the country ""might have taken a few steps back in public health"" under Modi.. Modi was elected to the legislative assembly soon after.. The Supreme Court ordered the land to be handed over to a trust to build the Hindu temple.. Modi played a dominant role in the BJPs election campaign.. The administration plans to construct 60 million toilets by 2019.. He is the first Indian to win the award.. Defence policy Indias nominal military spending increased steadily under Modi.. Anandiben Patel succeeded him as the chief minister.. The move had the effect of greatly centralising the power previously with the planning commission in the person of the prime minister.. The administration plans to construct 60 million toilets by 2019.. His illness made him feel weak both mentally and physically and he decided to quit films and venture into politics.. After the elections Vajpayee called the violence in Gujarat a reason for the BJPs electoral defeat and said it had been a mistake to leave Modi in office after the riots.Questions about Modis relationship with Muslims were also raised by many Western nations during his tenure as chief minister.. It performed particularly well in parts of the country that had recently experienced violence between Hindus and Muslims.. Prime Minister Governance and other initiatives Modi was sworn in as the Prime Minister of India on 26 May 2014.. Sangh organisations were no longer consulted or informed in advance about Modis administrative decisions."
doc_6_TheRollingStones,"The band has been the subject of numerous documentaries and were inducted into the Rock and Roll Hall of Fame by Pete Townshend in 1989.. This episode strengthened Richards resolve to stop using heroin.. 1 in both the UK and US.. Allen Klein took over his role as the bands manager in 1965.. 1 decades after it was first released.. ""Brown Sugar"" and ""Wild Horses"" were recorded at Alabamas Muscle Shoals Sound Studio during the 1969 American tour.. The tongue and lips design was part of a package that VH1 named the ""No.. The 1975 Tour of the Americas kicked off in New York City with the band performing on a flatbed trailer being pulled down Broadway.. These sessions included what would become the Rolling Stones first No.. Reviewers took note and credited the albums ""traditionalist"" sounds to the Rolling Stones new producer Don Was.. Their first concert was on 12 July 1962 at the Marquee Club in London.. The Stones embarked on their Latin American tour in February 2016.. All of them were successful at the box office.. A digitally remastered version of the film was shown in select cinemas across the United States.. 6 in the UK and No.. Haaretz described the concert as being ""Historic with a capital H"".. He asked the national government to allow states to invoke tougher laws in the wake of the 2006 Mumbai train bombings.. The band has been the subject of numerous documentaries and were inducted into the Rock and Roll Hall of Fame by Pete Townshend in 1989.. 3 in the UK and No.. Muddy Waters was quoted as saying that the Rolling Stones and other English bands piqued the interest of American youth in blues musicians.. Jones trial took place in November 1967.. Id grown sick to death of the whole Maharishi guru shit and the beads and bells.. Richards recorded the guitar riff that drives the song with a fuzzbox as a scratch track to guide a horn section.. Denness found Sachin Tendulkar guilty of ball tampering charges and handed him a one Test match ban.. The company went into administration and was later declared a failed company by the Indian Industries board."
doc_7_AmitabhBachchan,"Business investments Amitabh Bachchan has invested in many upcoming business ventures.. The film was a success at the box office.. Bachchan was performing his own stunts in the film and one scene required him to fall onto a table and then on the ground.. Taped copies of the song soon circulated among other radio stations throughout the US.. The film evoked a favourable response from critics and audiences alike.. Jagger and Richards decided to write songs together.. He also entered politics for a time in the 1980s.. Bachchan continued to host KBC until 2017.. That same year he played a double role in the hit Adalat as father and son.. His illness made him feel weak both mentally and physically and he decided to quit films and venture into politics.. The film was based on the hijacking incident of the Indian Airlines Flight 814.. Bachchan lent his voice as a narrator to the 2001 movie Lagaan which was a super hit.. All of them were successful at the box office.. The Show also grabbed all the major Awards for its category.. Bachchan was crowned as Superstar of the Millennium in 2000 at the Filmfare Awards.. He received positive reviews from critics who hailed his performance as his best ever since Black.. He also gave towering performances in Yash Chopras  Trishul and Prakash Mehras Muqaddar Ka Sikandar both of which earned him further Filmfare Best Actor nominations.. The film was based on the hijacking incident of the Indian Airlines Flight 814.. Early life and family Bachchan was born in Allahabad.. It became mentally tough for me because nobody talked about my 99 hundreds."". Bachchan in an interview with journalist Arnab Goswami offered to fight the case in court and asked the accusers to file the same as also present proof.. Bachchan was performing his own stunts in the film and one scene required him to fall onto a table and then on the ground.. Amitabh was required to use his singing voice for the first time in a song from the film Mr. Natwarlal in which he starred with Rekha.. His role as a doctor with a cynical view of life garnered Bachchan his first Filmfare Best Supporting Actor award.. He also gave towering performances in Yash Chopras  Trishul and Prakash Mehras Muqaddar Ka Sikandar both of which earned him further Filmfare Best Actor nominations."
doc_8_SachinTendulkar,"Captaincy Tendulkars two tenures as captain of the Indian cricket team were not very successful.. It came against Bangladesh in the league matches of Asia Cup 2012.. He said ""Its been a tough phase for me .... The team has been named as Kerala Blasters after his nickname ""Master Blaster"".. The charges against Tendulkar and Sehwags ban for excessive appealing triggered a massive backlash from the Indian public.. It became mentally tough for me because nobody talked about my 99 hundreds."". The ICC revoked the status of the match as a Test as the teams rejected the appointed referee.. He took the oath of office on 4 June.. Thus Sachin Tendulkar became the youngest player to debut for India in Tests at the age of 16 years and 205 days and also the youngest player to debut for India in ODIs at the age of 16 years and 238 days.The series was followed by a tour of New Zealand in which he scored 117 runs at an average of 29.25 in Tests including an innings of 88 in the second Test.. 22 lakh from his MPLAD funds allotted to him during his stint as Rajya Sabha MP for the renovation of a Childrens Park in East Bandra.. He dedicated this century to the victims of the Mumbai terror attacks.. India went on to win that match.. Their television debut came later that month with a live performance on the regional news programme People and Places.. He described the achievement as the biggest in 19 years of his career on the day he achieved the record.. Tendulkar scored his 39th ODI hundred on 6 February 2006 in a match against Pakistan.. He continued by scoring 99 and 93 in the first two matches of the Future Cup against South Africa.. His batting is based on complete balance and poise while limiting unnecessary movements and flourishes.. Tendulkar was given a suspended ban of one game by Denness in light of alleged ball tampering.. Laxman for the fifth wicket to lead India to a score of 282 for 5 from 156 for 4.. Tendulkar was given a suspended ban of one game by Denness in light of alleged ball tampering.. The selection committee of BCCI expectedly included Sachin in the national Test squad for the upcoming series against New Zealand commencing in August 2012.. He acknowledged his wife for the first time when he filed his nomination for the 2014 general elections.. Sachin has scored more than 500 runs in IPL in two different seasons as a captain.Sachin Tendulkar captained Mumbai Indians in 4 league matches of second edition of the league.. He says that Sachins quest for his 100th hundred has proved to be a hurdle for the entire team and has hampered their performance on the Tour of Australia.. His batting is based on complete balance and poise while limiting unnecessary movements and flourishes."
doc_9_NarendraModi,"Modi was forced to go underground in Gujarat and frequently travelled in disguise to avoid arrest.. It also ordered the government to give alternate 5 acre land to Sunni Waqf Board for the purpose of building a mosque.. The governments decision to move the bodies of the train victims from Godhra to Ahmedabad further inflamed the violence.. The Naga insurgency in northeast India had begun in the 1950s.. McCartney and Starr remain musically active.. He was also coached under the guidance of Achrekar at Shivaji Park in the mornings and evenings.. Pakistan initially denied that any strikes had taken place.. The campaign also saw the use of rhetoric based on Hindutva by BJP leaders in certain states.. The Indian media claimed that up to 50 terrorists and Pakistani soldiers had been killed in the strike.. An article in the medical journal Lancet stated that the country ""might have taken a few steps back in public health"" under Modi.. By necessity he joined with booking agent Eric Easton to secure record financing and assistance booking venues.. The train carried a large number of Hindu pilgrims returning from Ayodhya after a religious ceremony at the site of the demolished Babri Masjid.. Modi invited all the other leaders of SAARC countries to his swearing in ceremony as prime minister.. The budget was viewed positively by private insurance providers.. In 2013 the state ranked 10th of 21 Indian states in the Human Development Index.. The new ministry also removed or diluted a number of laws related to environmental protection.. In 2008 Modi offered land in Gujarat to Tata Motors to set up a plant manufacturing the Nano after a popular agitation had forced the company to move out of West Bengal.. Development debate A contentious debate surrounds the assessment of Gujarats economic development during Modis tenure as chief minister.. The budget was viewed positively by private insurance providers.. The campaign also saw the use of rhetoric based on Hindutva by BJP leaders in certain states.. Under the Modi government these restrictions were gradually lifted.. He was also declared winner of the Time magazine readers poll for Person of the Year in 2014 and 2016.. The stated goals of the campaign included eliminating open defecation and manual scavenging within five years.. The BJP did not nominate any Muslim candidates for the assembly election of 2012.. He was again sworn in as Prime minister on 30 May 2019."
